CompVar,Company,Variety,SeedTreatment,Trait,Value,Location,Region
AgriMAXX_444,AgriMAXX,444,C,yield,96.16,Elkville,SIL
AgriMAXX_454,AgriMAXX,454,C,yield,107.56,Elkville,SIL
AgriMAXX_463,AgriMAXX,463,C,yield,97.3,Elkville,SIL
AgriMAXX_473,AgriMAXX,473,C,yield,97.21,Elkville,SIL
AgriMAXX_475,AgriMAXX,475,C,yield,107.46,Elkville,SIL
AgriMAXX_485,AgriMAXX,485,C,yield,90.96,Elkville,SIL
AgriMAXX_486,AgriMAXX,486,C,yield,104.29,Elkville,SIL
AgriMAXX_495,AgriMAXX,495,C,yield,100.61,Elkville,SIL
AgriMAXX_Exp 1902,AgriMAXX,Exp 1902,C,yield,105.69,Elkville,SIL
AgriMAXX_Exp 1905,AgriMAXX,Exp 1905,C,yield,89.4,Elkville,SIL
AgriMAXX_Exp 1906,AgriMAXX,Exp 1906,C,yield,93.17,Elkville,SIL
AgriMAXX_Exp 1913,AgriMAXX,Exp 1913,C,yield,97.21,Elkville,SIL
AgriPro_SY 100,AgriPro,SY 100,C,yield,106.88,Elkville,SIL
AgriPro_SY 547,AgriPro,SY 547,C,yield,100.55,Elkville,SIL
AgriPro_SY 576,AgriPro,SY 576,C,yield,103.73,Elkville,SIL
AgriPro_SY Viper,AgriPro,SY Viper,C,yield,102.49,Elkville,SIL
BioTown Seeds_Diener 491W,BioTown Seeds,Diener 491W,NA,yield,102.68,Elkville,SIL
BioTown Seeds_Diener 497W,BioTown Seeds,Diener 497W,NA,yield,92.36,Elkville,SIL
BioTown Seeds_Diener D510W,BioTown Seeds,Diener D510W,NA,yield,93.76,Elkville,SIL
BioTown Seeds_Diener XW1902W,BioTown Seeds,Diener XW1902W,NA,yield,97.99,Elkville,SIL
Croplan_CP8550,Croplan,CP8550,G,yield,96.21,Elkville,SIL
Croplan_CP8800,Croplan,CP8800,G,yield,101.65,Elkville,SIL
Croplan_CP9415,Croplan,CP9415,G,yield,109.25,Elkville,SIL
Croplan_CP9606,Croplan,CP9606,G,yield,112.27,Elkville,SIL
Dyna-Gro_9522,Dyna-Gro,9522,G,yield,107.39,Elkville,SIL
Dyna-Gro_9701,Dyna-Gro,9701,G,yield,98.08,Elkville,SIL
Dyna-Gro_9750,Dyna-Gro,9750,G,yield,100.28,Elkville,SIL
Dyna-Gro_9862,Dyna-Gro,9862,G,yield,88.7,Elkville,SIL
Dyna-Gro_9932,Dyna-Gro,9932,G,yield,106.68,Elkville,SIL
Dyna-Gro_9941,Dyna-Gro,9941,G,yield,94.7,Elkville,SIL
Dyna-Gro_9980,Dyna-Gro,9980,G,yield,89.89,Elkville,SIL
Dyna-Gro_WX18416,Dyna-Gro,WX18416,G,yield,105.99,Elkville,SIL
Dyna-Gro_WX19713,Dyna-Gro,WX19713,G,yield,99.82,Elkville,SIL
Dyna-Gro_WX19714,Dyna-Gro,WX19714,G,yield,98.87,Elkville,SIL
Go Wheat_2058,Go Wheat,2058,C,yield,100.41,Elkville,SIL
Go Wheat_EXP18-1,Go Wheat,EXP18-1,C,yield,85.85,Elkville,SIL
Go Wheat_EXP18-2,Go Wheat,EXP18-2,C,yield,102.02,Elkville,SIL
GROWMARK_FS 599,GROWMARK,FS 599,C,yield,94.1,Elkville,SIL
GROWMARK_FS 601,GROWMARK,FS 601,C,yield,97.94,Elkville,SIL
GROWMARK_FS 603,GROWMARK,FS 603,C,yield,111.45,Elkville,SIL
GROWMARK_FS 604,GROWMARK,FS 604,C,yield,98.17,Elkville,SIL
GROWMARK_FS 615,GROWMARK,FS 615,C,yield,109.65,Elkville,SIL
GROWMARK_FS 624,GROWMARK,FS 624,C,yield,105.74,Elkville,SIL
GROWMARK_WX19A,GROWMARK,WX19A,C,yield,104.28,Elkville,SIL
GROWMARK_WX19B,GROWMARK,WX19B,C,yield,108.07,Elkville,SIL
Hoffman Seed_H7W15,Hoffman Seed,H7W15,NA,yield,104.14,Elkville,SIL
Hoffman Seed_H7W16,Hoffman Seed,H7W16,NA,yield,84.43,Elkville,SIL
Hoffman Seed_H7W19,Hoffman Seed,H7W19,NA,yield,102.76,Elkville,SIL
Hoffman Seed_H7W28,Hoffman Seed,H7W28,NA,yield,92.01,Elkville,SIL
Kitchen Seed Company_KSC 416,Kitchen Seed Company,KSC 416,G,yield,102.52,Elkville,SIL
Kitchen Seed Company_KSC 417,Kitchen Seed Company,KSC 417,G,yield,102.59,Elkville,SIL
Kitchen Seed Company_KSC 418,Kitchen Seed Company,KSC 418,G,yield,103.4,Elkville,SIL
KWS Cereals_KWS19X03,KWS Cereals,KWS19X03,C,yield,99.42,Elkville,SIL
KWS Cereals_KWS19X07,KWS Cereals,KWS19X07,C,yield,105.96,Elkville,SIL
KWS Cereals_KWS19X09,KWS Cereals,KWS19X09,C,yield,113.16,Elkville,SIL
LCS_AMMO,LCS,AMMO,NA,yield,82.34,Elkville,SIL
Limagrain_L11548,Limagrain,L11548,G,yield,106.8,Elkville,SIL
