CompVar,Company,Variety,SeedTreatment,Location,Trait,Value
AgriMAXX_444,AgriMAXX,444,C,Neoga,yield,80.46
AgriMAXX_446,AgriMAXX,446,C,Neoga,yield,85.11
AgriMAXX_454,AgriMAXX,454,C,Neoga,yield,89.49
AgriMAXX_463,AgriMAXX,463,C,Neoga,yield,80.62
AgriMAXX_473,AgriMAXX,473,C,Neoga,yield,83.72
AgriMAXX_475,AgriMAXX,475,C,Neoga,yield,89.26
AgriMAXX_480,AgriMAXX,480,C,Neoga,yield,80.25
AgriMAXX_485,AgriMAXX,485,C,Neoga,yield,71.84
AgriMAXX_486,AgriMAXX,486,C,Neoga,yield,78.13
AgriMAXX_Exp 1884,AgriMAXX,Exp 1884,C,Neoga,yield,85.6
AgriMAXX_Exp 1892,AgriMAXX,Exp 1892,C,Neoga,yield,89.18
AgriPro_SY 100,AgriPro,SY 100,C,Neoga,yield,81.31
AgriPro_SY 547,AgriPro,SY 547,C,Neoga,yield,78.28
Beck's Hybrids_Beck 726,Beck's Hybrids,Beck 726,E,Neoga,yield,84.11
BioTown Seeds_D496W,BioTown Seeds,D496W,C,Neoga,yield,71.39
BioTown Seeds_D497W,BioTown Seeds,D497W,C,Neoga,yield,86.65
BioTown Seeds_D498W,BioTown Seeds,D498W,C,Neoga,yield,84.98
BioTown Seeds_D510W,BioTown Seeds,D510W,C,Neoga,yield,78.63
BioTown Seeds_XW 1802,BioTown Seeds,XW 1802,C,Neoga,yield,91.04
Croplan_SRW 8550,Croplan,SRW 8550,G,Neoga,yield,88.65
Croplan_SRW 9415,Croplan,SRW 9415,G,Neoga,yield,81.96
Croplan_SRW 9606,Croplan,SRW 9606,G,Neoga,yield,89.48
Dyna-Gro_9522,Dyna-Gro,9522,G,Neoga,yield,85.06
Dyna-Gro_9701,Dyna-Gro,9701,G,Neoga,yield,86.31
Dyna-Gro_9750,Dyna-Gro,9750,G,Neoga,yield,80.21
Dyna-Gro_9811,Dyna-Gro,9811,G,Neoga,yield,80.63
Dyna-Gro_9862,Dyna-Gro,9862,G,Neoga,yield,76.31
Dyna-Gro_WX17775,Dyna-Gro,WX17775,G,Neoga,yield,87.64
Dyna-Gro_WX17778,Dyna-Gro,WX17778,G,Neoga,yield,86.61
Dyna-Gro_WX18724,Dyna-Gro,WX18724,G,Neoga,yield,82.13
GROWMARK_FS 603,GROWMARK,FS 603,C,Neoga,yield,83.99
GROWMARK_FS 604,GROWMARK,FS 604,C,Neoga,yield,83.64
GROWMARK_FS 615,GROWMARK,FS 615,C,Neoga,yield,87.43
GROWMARK_FS 619,GROWMARK,FS 619,C,Neoga,yield,88.55
GROWMARK_FS 624,GROWMARK,FS 624,C,Neoga,yield,85.36
GROWMARK_WX18A,GROWMARK,WX18A,C,Neoga,yield,83.52
GROWMARK_WX18B,GROWMARK,WX18B,C,Neoga,yield,88.55
GROWMARK_WX18C,GROWMARK,WX18C,C,Neoga,yield,80.72
Hoffman Seed_H7W15,Hoffman Seed,H7W15,C,Neoga,yield,84.53
Hoffman Seed_H7W16,Hoffman Seed,H7W16,C,Neoga,yield,79.19
Hoffman Seed_H7W17,Hoffman Seed,H7W17,C,Neoga,yield,73.7
Hoffman Seed_H7W18,Hoffman Seed,H7W18,C,Neoga,yield,97.15
Hoffman Seed_H7W28,Hoffman Seed,H7W28,C,Neoga,yield,76.48
Kitchen Seed Company_KSC 416,Kitchen Seed Company,KSC 416,G,Neoga,yield,78.33
Kitchen Seed Company_KSC 417,Kitchen Seed Company,KSC 417,G,Neoga,yield,89.85
Kitchen Seed Company_KSC 418,Kitchen Seed Company,KSC 418,G,Neoga,yield,94.09
LCS_AMMO,LCS,AMMO,,Neoga,yield,72.76
Limagrain_L11548,Limagrain,L11548,C,Neoga,yield,90.77
Limagrain_L11549,Limagrain,L11549,C,Neoga,yield,83.98
Limagrain_L11617,Limagrain,L11617,C,Neoga,yield,77.09
Limagrain_L11719,Limagrain,L11719,C,Neoga,yield,80.85
Miller Bros Farm and Fert._L214,Miller Bros Farm and Fert.,L214,G,Neoga,yield,78.59
Miller Bros Farm and Fert._L334,Miller Bros Farm and Fert.,L334,U,Neoga,yield,49.54
Pioneer_Pioneer 25R61,Pioneer,Pioneer 25R61,C,Neoga,yield,79.82
Pioneer_Pioneer 25R74,Pioneer,Pioneer 25R74,C,Neoga,yield,80.37
Pioneer_Pioneer 25R77,Pioneer,Pioneer 25R77,C,Neoga,yield,76.56
USG_3118,USG,3118,C,Neoga,yield,71.13
USG_3197,USG,3197,C,Neoga,yield,81.44
USG_3228,USG,3228,C,Neoga,yield,77.87
USG_3329,USG,3329,C,Neoga,yield,85.33
USG_3404,USG,3404,C,Neoga,yield,88.4
USG_3448,USG,3448,C,Neoga,yield,88
Virginia Crop Impr. Assoc._Hilliard,Virginia Crop Impr. Assoc.,Hilliard,G,Neoga,yield,87.63
Virginia Crop Impr. Assoc._VA12W-68,Virginia Crop Impr. Assoc.,VA12W-68,G,Neoga,yield,82.08
AgriMAXX_444,AgriMAXX,444,C,Neoga,rank,43
AgriMAXX_446,AgriMAXX,446,C,Neoga,rank,24
AgriMAXX_454,AgriMAXX,454,C,Neoga,rank,6
AgriMAXX_463,AgriMAXX,463,C,Neoga,rank,42
AgriMAXX_473,AgriMAXX,473,C,Neoga,rank,31
AgriMAXX_475,AgriMAXX,475,C,Neoga,rank,8
AgriMAXX_480,AgriMAXX,480,C,Neoga,rank,45
AgriMAXX_485,AgriMAXX,485,C,Neoga,rank,61
AgriMAXX_486,AgriMAXX,486,C,Neoga,rank,53
AgriMAXX_Exp 1884,AgriMAXX,Exp 1884,C,Neoga,rank,21
AgriMAXX_Exp 1892,AgriMAXX,Exp 1892,C,Neoga,rank,9
AgriPro_SY 100,AgriPro,SY 100,C,Neoga,rank,38
AgriPro_SY 547,AgriPro,SY 547,C,Neoga,rank,52
Beck's Hybrids_Beck 726,Beck's Hybrids,Beck 726,E,Neoga,rank,28
BioTown Seeds_D496W,BioTown Seeds,D496W,C,Neoga,rank,62
BioTown Seeds_D497W,BioTown Seeds,D497W,C,Neoga,rank,18
BioTown Seeds_D498W,BioTown Seeds,D498W,C,Neoga,rank,26
BioTown Seeds_D510W,BioTown Seeds,D510W,C,Neoga,rank,49
BioTown Seeds_XW 1802,BioTown Seeds,XW 1802,C,Neoga,rank,3
Croplan_SRW 8550,Croplan,SRW 8550,G,Neoga,rank,10
Croplan_SRW 9415,Croplan,SRW 9415,G,Neoga,rank,36
Croplan_SRW 9606,Croplan,SRW 9606,G,Neoga,rank,7
Dyna-Gro_9522,Dyna-Gro,9522,G,Neoga,rank,25
Dyna-Gro_9701,Dyna-Gro,9701,G,Neoga,rank,20
Dyna-Gro_9750,Dyna-Gro,9750,G,Neoga,rank,46
Dyna-Gro_9811,Dyna-Gro,9811,G,Neoga,rank,41
Dyna-Gro_9862,Dyna-Gro,9862,G,Neoga,rank,58
Dyna-Gro_WX17775,Dyna-Gro,WX17775,G,Neoga,rank,15
