CompVar,Company,Variety,SeedTreatment,Location,Trait,Value,Region
AgriMAXX_444,AgriMAXX,444,C,Elkville,yield,96.16,SIL
AgriMAXX_454,AgriMAXX,454,C,Elkville,yield,107.56,SIL
AgriMAXX_463,AgriMAXX,463,C,Elkville,yield,97.3,SIL
AgriMAXX_473,AgriMAXX,473,C,Elkville,yield,97.21,SIL
AgriMAXX_475,AgriMAXX,475,C,Elkville,yield,107.46,SIL
AgriMAXX_485,AgriMAXX,485,C,Elkville,yield,90.96,SIL
AgriMAXX_486,AgriMAXX,486,C,Elkville,yield,104.29,SIL
AgriMAXX_495,AgriMAXX,495,C,Elkville,yield,100.61,SIL
AgriMAXX_Exp_1902,AgriMAXX,Exp_1902,C,Elkville,yield,105.69,SIL
AgriMAXX_Exp_1905,AgriMAXX,Exp_1905,C,Elkville,yield,89.4,SIL
AgriMAXX_Exp_1906,AgriMAXX,Exp_1906,C,Elkville,yield,93.17,SIL
AgriMAXX_Exp_1913,AgriMAXX,Exp_1913,C,Elkville,yield,97.21,SIL
AgriPro_SY_576,AgriPro,SY_576,C,Elkville,yield,103.73,SIL
AgriPro_SY_100,AgriPro,SY_100,C,Elkville,yield,106.88,SIL
AgriPro_SY_547,AgriPro,SY_547,C,Elkville,yield,100.55,SIL
AgriPro_SY_Viper,AgriPro,SY_Viper,C,Elkville,yield,102.49,SIL
BioTown_Seeds_Diener_491W,BioTown_Seeds,Diener_491W,NA,Elkville,yield,102.68,SIL
BioTown_Seeds_Diener_497W,BioTown_Seeds,Diener_497W,NA,Elkville,yield,92.36,SIL
BioTown_Seeds_Diener_D510W,BioTown_Seeds,Diener_D510W,NA,Elkville,yield,93.76,SIL
BioTown_Seeds_Diener_XW1902W,BioTown_Seeds,Diener_XW1902W,NA,Elkville,yield,97.99,SIL
Croplan_CP8550,Croplan,CP8550,G,Elkville,yield,96.21,SIL
Croplan_CP8800,Croplan,CP8800,G,Elkville,yield,101.65,SIL
Croplan_CP9415,Croplan,CP9415,G,Elkville,yield,109.25,SIL
Croplan_CP9606,Croplan,CP9606,G,Elkville,yield,112.27,SIL
Dyna-Gro_9522,Dyna-Gro,9522,G,Elkville,yield,107.39,SIL
Dyna-Gro_9701,Dyna-Gro,9701,G,Elkville,yield,98.08,SIL
Dyna-Gro_9750,Dyna-Gro,9750,G,Elkville,yield,100.28,SIL
Dyna-Gro_9862,Dyna-Gro,9862,G,Elkville,yield,88.7,SIL
Dyna-Gro_9932,Dyna-Gro,9932,G,Elkville,yield,106.68,SIL
Dyna-Gro_9941,Dyna-Gro,9941,G,Elkville,yield,94.7,SIL
Dyna-Gro_9980,Dyna-Gro,9980,G,Elkville,yield,89.89,SIL
Dyna-Gro_WX18416,Dyna-Gro,WX18416,G,Elkville,yield,105.99,SIL
Dyna-Gro_WX19713,Dyna-Gro,WX19713,G,Elkville,yield,99.82,SIL
Dyna-Gro_WX19714,Dyna-Gro,WX19714,G,Elkville,yield,98.87,SIL
Go_Wheat_2058,Go_Wheat,2058,C,Elkville,yield,100.41,SIL
Go_Wheat_EXP18-1,Go_Wheat,EXP18-1,C,Elkville,yield,85.85,SIL
Go_Wheat_EXP18-2,Go_Wheat,EXP18-2,C,Elkville,yield,102.02,SIL
GROWMARK_FS_599,GROWMARK,FS_599,C,Elkville,yield,94.1,SIL
GROWMARK_FS_601,GROWMARK,FS_601,C,Elkville,yield,97.94,SIL
GROWMARK_FS_603,GROWMARK,FS_603,C,Elkville,yield,111.45,SIL
GROWMARK_FS_604,GROWMARK,FS_604,C,Elkville,yield,98.17,SIL
GROWMARK_FS_615,GROWMARK,FS_615,C,Elkville,yield,109.65,SIL
GROWMARK_FS_624,GROWMARK,FS_624,C,Elkville,yield,105.74,SIL
GROWMARK_WX19A,GROWMARK,WX19A,C,Elkville,yield,104.28,SIL
GROWMARK_WX19B,GROWMARK,WX19B,C,Elkville,yield,108.07,SIL
Hoffman_Seed_H7W15,Hoffman_Seed,H7W15,NA,Elkville,yield,104.14,SIL
Hoffman_Seed_H7W16,Hoffman_Seed,H7W16,NA,Elkville,yield,84.43,SIL
Hoffman_Seed_H7W19,Hoffman_Seed,H7W19,NA,Elkville,yield,102.76,SIL
Hoffman_Seed_H7W28,Hoffman_Seed,H7W28,NA,Elkville,yield,92.01,SIL
Kitchen_Seed_Company_KSC_416,Kitchen_Seed_Company,KSC_416,G,Elkville,yield,102.52,SIL
Kitchen_Seed_Company_KSC_417,Kitchen_Seed_Company,KSC_417,G,Elkville,yield,102.59,SIL
Kitchen_Seed_Company_KSC_418,Kitchen_Seed_Company,KSC_418,G,Elkville,yield,103.4,SIL
KWS_Cereals_KWS19X03,KWS_Cereals,KWS19X03,C,Elkville,yield,99.42,SIL
KWS_Cereals_KWS19X07,KWS_Cereals,KWS19X07,C,Elkville,yield,105.96,SIL
KWS_Cereals_KWS19X09,KWS_Cereals,KWS19X09,C,Elkville,yield,113.16,SIL
LCS_AMMO,LCS,AMMO,NA,Elkville,yield,82.34,SIL
Limagrain_L11548,Limagrain,L11548,G,Elkville,yield,106.8,SIL
Limagrain_L11713,Limagrain,L11713,G,Elkville,yield,97.84,SIL
Pioneer_25R61,Pioneer,25R61,C,Elkville,yield,111.32,SIL
Pioneer_25R74,Pioneer,25R74,C,Elkville,yield,105.61,SIL
Pioneer_25R77,Pioneer,25R77,C,Elkville,yield,106.57,SIL
ProHarvest_286,ProHarvest,286,G,Elkville,yield,83,SIL
ProHarvest_317,ProHarvest,317,G,Elkville,yield,90.16,SIL
USG_3329,USG,3329,G,Elkville,yield,101.82,SIL
USG_3404,USG,3404,G,Elkville,yield,106.25,SIL
USG_3536,USG,3536,G,Elkville,yield,95.36,SIL
